event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,min_customers,max_customers,mean_customers
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1001,Alabama,Autauga,2016-06-17 21:30:00,6.75,624,928,899.8148148148148
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1003,Alabama,Baldwin,2016-06-17 23:30:00,5.75,287,1573,836.0
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1013,Alabama,Butler,2016-06-17 22:45:00,5.5,255,2484,1639.5454545454545
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1013,Alabama,Butler,2016-06-18 04:30:00,2.0,1592,3184,1791.0
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1021,Alabama,Chilton,2016-06-17 21:30:00,6.75,821,2705,2559.962962962963
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1031,Alabama,Coffee,2016-06-18 00:00:00,7.0,231,1826,1197.892857142857
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1035,Alabama,Conecuh,2016-06-18 04:30:00,0.25,358,358,358.0
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1039,Alabama,Covington,2016-06-17 23:30:00,8.25,203,1164,745.0
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1039,Alabama,Covington,2016-06-18 08:30:00,0.25,203,203,203.0
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1041,Alabama,Crenshaw,2016-06-17 23:00:00,5.25,414,1152,634.8571428571429
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1041,Alabama,Crenshaw,2016-06-18 04:30:00,0.75,227,229,228.33333333333331
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1045,Alabama,Dale,2016-06-18 01:15:00,1.25,216,216,216.0
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1047,Alabama,Dallas,2016-06-17 22:00:00,6.25,360,815,686.04
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1047,Alabama,Dallas,2016-06-18 04:30:00,2.0,711,1422,799.875
Alabama-0,Alabama,2016-06-17 15:40:00,2016-06-18 08:34:00,Weather,1085,Alabama,Lowndes,2016-06-18 04:30:00,0.25,380,380,380.0
