event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,min_customers,max_customers,mean_customers
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5069,Arkansas,Jefferson,2014-11-23 14:45:00,0.5,252,252,252.0
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5069,Arkansas,Jefferson,2014-11-23 22:45:00,4.0,1210,1255,1213.9375
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6037,California,Los Angeles,2014-11-18 20:45:00,17.0,232,4762,1582.3823529411766
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6059,California,Orange,2014-11-18 20:45:00,5.0,219,1594,1218.5
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6059,California,Orange,2014-11-19 07:30:00,4.5,204,398,240.88888888888889
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6065,California,Riverside,2014-11-18 16:45:00,3.75,408,1199,935.6666666666666
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6065,California,Riverside,2014-11-18 20:45:00,6.0,401,1000,765.0833333333334
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6071,California,San Bernardino,2014-11-18 15:30:00,5.0,824,3764,1513.9
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6071,California,San Bernardino,2014-11-18 20:45:00,10.0,343,1228,901.7
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6073,California,San Diego,2014-11-18 20:45:00,0.25,220,220,220.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6073,California,San Diego,2014-11-18 21:15:00,7.0,408,1200,792.7142857142857
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6073,California,San Diego,2014-11-19 05:15:00,9.25,584,1081,921.945945945946
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6083,California,Santa Barbara,2014-11-18 17:15:00,0.5,301,1943,1122.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6083,California,Santa Barbara,2014-11-18 19:15:00,1.25,244,244,244.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6083,California,Santa Barbara,2014-11-18 20:45:00,8.0,244,318,275.28125
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6111,California,Ventura,2014-11-18 16:00:00,4.5,243,1589,910.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6111,California,Ventura,2014-11-18 20:45:00,0.5,334,345,339.5
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6113,California,Yolo,2014-11-19 00:45:00,0.5,718,718,718.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6037,California,Los Angeles,2014-12-11 06:15:00,7.25,393,1575,535.1379310344828
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6037,California,Los Angeles,2014-12-11 16:30:00,12.75,326,2227,1240.3921568627452
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6059,California,Orange,2014-12-11 07:00:00,8.75,517,2409,964.7142857142856
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6059,California,Orange,2014-12-11 16:00:00,13.25,884,2864,1960.5471698113208
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-11 17:00:00,0.75,215,215,215.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-11 18:00:00,11.25,246,388,295.7333333333333
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6067,California,Sacramento,2014-12-11 11:45:00,4.0,428,18239,2277.4375
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6067,California,Sacramento,2014-12-11 16:00:00,2.5,269,652,470.4
