"state","year","month","outage_count","max_outage_duration","customer_weighted_hours"
"ID",2015,3,15,5.75,13798
"ID",2015,4,3,1,905.25
"ID",2015,5,7,4.5,13137.5
"ID",2015,6,17,5.75,25885.5
"ID",2015,7,14,8.75,20021.5
"ID",2015,8,85,21.75,216973
"ID",2015,9,53,5.5,67220.75
"ID",2015,10,21,14,52339.25
"ID",2015,11,77,69.25,1248301.75
"ID",2015,12,63,80.75,265317
"IL",2015,0,4144,56.75,11463600.5
"IL",2015,1,133,7.5,103508.5
"IL",2015,2,131,29.5,355133.75
"IL",2015,3,210,18.5,335777.75
"IL",2015,4,285,37.5,446252
"IL",2015,5,396,16.75,417656.5
"IL",2015,6,737,26.25,1575651
"IL",2015,7,480,48.75,1719550
"IL",2015,8,346,42.25,1377910.75
"IL",2015,9,351,24,637236.75
"IL",2015,10,306,14,402505.5
"IL",2015,11,444,31,1061451
"IL",2015,12,325,56.75,3030967
"IN",2015,0,2227,69,7579000
"IN",2015,1,106,7.25,152742.75
"IN",2015,2,91,9.75,120328.25
"IN",2015,3,59,6.5,94035.5
"IN",2015,4,166,12.75,221831.25
"IN",2015,5,178,23.25,264240.25
"IN",2015,6,457,34.75,1646250.75
"IN",2015,7,289,69,2480793.25
"IN",2015,8,127,16.25,271615.5
"IN",2015,9,183,16.5,319825
"IN",2015,10,173,33.25,253744.5
"IN",2015,11,185,23.75,431451.5
"IN",2015,12,213,57,1322141.5
"IA",2015,0,967,26.5,1254097.75
"IA",2015,1,49,4,44792.75
"IA",2015,2,38,11.5,62741.75
"IA",2015,3,47,23,91966.75
"IA",2015,4,43,5,43194.25
"IA",2015,5,57,11.5,56844.75
"IA",2015,6,129,26.5,274660.5
"IA",2015,7,66,4.5,43979
"IA",2015,8,94,6,97771.5
"IA",2015,9,115,4.75,108070
"IA",2015,10,98,6.25,95884
"IA",2015,11,161,15.5,235326.5
"IA",2015,12,70,20,98866
"KS",2015,0,1069,73.25,2455335.5
"KS",2015,1,7,1.5,6072.75
"KS",2015,2,5,5.5,12984.5
"KS",2015,3,8,6.25,27164.5
"KS",2015,4,44,8.75,47291.75
"KS",2015,5,133,18,146721.5
