"state","year","month","outage_count","max_outage_duration","customer_weighted_hours","date"
"PA",2019,2,584,105.25,6164293.5,2019-02-01
"PA",2019,3,526,21.75,582283.25,2019-03-01
"PA",2019,4,594,66.25,1668422.5,2019-04-01
"PA",2019,5,731,83.5,2164965.75,2019-05-01
"PA",2019,6,836,46,1512223.25,2019-06-01
"PA",2019,7,876,49.75,2725899.25,2019-07-01
"PA",2019,8,703,35.75,1267653.5,2019-08-01
"PA",2019,9,448,25.5,602698.25,2019-09-01
"PA",2019,10,625,42.25,1496613.25,2019-10-01
"PA",2019,11,547,96.5,3514392,2019-11-01
"PA",2019,12,528,71,1323273.5,2019-12-01
"PA",2020,1,476,19.5,580044.75,2020-01-01
"PA",2020,2,346,27.5,548730.5,2020-02-01
"PA",2020,3,484,23,593068.25,2020-03-01
"PA",2020,4,626,59.75,2416834.25,2020-04-01
"PA",2020,5,525,18,545751.75,2020-05-01
"PA",2020,6,648,129.25,12433129.25,2020-06-01
"PA",2020,7,856,31.75,1650250.75,2020-07-01
"PA",2020,8,810,130.5,10945233.5,2020-08-01
"PA",2020,9,451,33.25,523037.75,2020-09-01
"PA",2020,10,528,19,586916.5,2020-10-01
"PA",2020,11,724,53,3121238.25,2020-11-01
"PA",2020,12,482,56,1627929.75,2020-12-01
"PA",2021,1,371,31,471374.75,2021-01-01
"PA",2021,2,336,19.75,333846,2021-02-01
"PA",2021,3,642,36.75,1692338,2021-03-01
"PA",2021,4,499,34,879298.75,2021-04-01
"PA",2021,5,576,33,992930.75,2021-05-01
"PA",2021,6,839,73,2131848.75,2021-06-01
"PA",2021,7,996,67.5,4232094.75,2021-07-01
"PA",2021,8,937,47.75,2450488.25,2021-08-01
"PA",2021,9,762,120,4376210.5,2021-09-01
"PA",2021,10,584,33.75,1005855,2021-10-01
"PA",2021,11,514,17,521066,2021-11-01
"PA",2021,12,588,31.5,1379639.75,2021-12-01
"PA",2022,1,478,26,632040.5,2022-01-01
"PA",2022,2,588,98,2649292,2022-02-01
"PA",2022,3,603,48.75,1740456.25,2022-03-01
"PA",2022,4,464,69,1586630,2022-04-01
"PA",2022,5,675,55.5,1863766.5,2022-05-01
"PA",2022,6,730,74.5,1532935.5,2022-06-01
"PA",2022,7,692,48.25,1841415.5,2022-07-01
"PA",2022,8,705,19.25,894616,2022-08-01
"PA",2022,9,631,14.5,645823.25,2022-09-01
"PA",2022,10,512,18.25,477747,2022-10-01
